Q1,Q2,Q3,Q4_CoD,Q4_CoS,Q4_IA,Q4_CoC,Q4_CoE,Q5,Q6,Q6_6_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
Yes,Atlanta,College of Design,School of Building Construction,,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,It depends on availability based on your advisor and chair's decision ,>20,"It depends on course contents. One class I am TAing has a lot of assignments (more than 10 assignment for one semester). Although class size is relatively small (about 16 students), it requires a lot of time to grade and take care of students. ",Yes,Monthly,2200,,"Considering the amount of work and inflation rates, TA compensation should be increased. ",8,communication skills
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Holding recitations",,Other (Please specify),3/4 waiver,0,,5-10,,Yes,Monthly,1200,,,10,teaching
Yes,Atlanta,College of Sciences,,School of Mathematics,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes",,Full waiver,,8,,5-10,,Yes,Monthly,,,,10,
Yes,Atlanta,College of Sciences,,School of Earth and Atmospheric Sciences,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Full waiver,,1,,15-20,not really ,Yes,Monthly,2200,,nothinh,1,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,5-10,,Yes,Monthly,1000,,,5,
Yes,Atlanta,College of Sciences,,School of Mathematics,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Holding recitations",,Full waiver,,Don't know,,5-10,At times I'll work 1-3 more hours than is required. And the time commitment is not always evenly distributed throughout the semester.,Yes,Monthly,,,,7,Learning how to best teach/explain concepts in studio. Finding ways to engage students.
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,1400,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas",,Full waiver,,1,,15-20,,Yes,Monthly,1050,,,5,
Yes,Atlanta,Ivan Allen College,,,School of Modern Languages,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Teaching classes",,Full waiver,,2,,15-20,,Yes,Monthly,1025,,"Monthly deposits can be tricky when they don’t line up properly with the bills I have to pay. Even if it’s the same dollar amount I’m being paid, a biweekly payment schedule would give me much more security ",10,Building educational relationships with students and getting them invested in the subject matters that I’m passionate about.
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,5-10,,Yes,Monthly,1040,,,8,"being able to teach others/explaining things, working through problems from different perspectives, team leadership and collaboration"
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,N/A,,5-10,No Discrepancy,Yes,Monthly,1600,,Please increase the TA stipend to atleast 2000$ per month,9,Time management and Teaching skills
Yes,Atlanta,College of Design,School of Building Construction,,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Don't know,,0,,5-10,,Yes,Monthly,2500,,,10,Teaching
Yes,Online,Ivan Allen College,,,School of Public Policy,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,N/A,,>20,,Yes,Hourly,,,,3,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes",,Full waiver,,N/A,Based on necessity ,15-20,"Yes, I found myself working weekends ",Yes,Monthly,805,,,7,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Did not get a waiver,,2,,5-10,,No,,,,,6,
Yes,Atlanta,College of Computing,,,,School of Cybersecurity,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Syllabus review and project briefings,Full waiver,,Don't know,,5-10,,Yes,Monthly,1579,,I haven't yet received any compensation for the semester even though I've been employed since the start.,8,Presenting technical topics to a class and explaining concepts to students during office hours.
Yes,Atlanta,Ivan Allen College,,,School of International Affairs,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,No teaching requirement for MS program,10-15,,Yes,Monthly,1050,,Not enough to offset cost of living off campus,8,Grading technical material
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Full waiver,,3,,<5,,No,,,,,10,
Yes,Atlanta,College of Design,School of Industrial Design,,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Full waiver,,0,,15-20,,Yes,Monthly,1150,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Full waiver,,0,,10-15,,Yes,Monthly,2145,,,5,
Yes,Atlanta,College of Sciences,,School of Mathematics,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Holding recitations",,Full waiver,,Don't know,,5-10,No,Yes,Monthly,2200,,,8,"Communication, presentation, teaching skills"
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes,Conducting lab sessions,Other (Please specify)","Design test questions, form rubrics for grading, manage undergraduate homework graders",Full waiver,,2,,15-20,"It seemed to me that I worked more hours than was generally expected. The class was large, the responsibilities required constant attention, not always clearly defined hours. ",No,,,,"Yes - my PI felt like it was just a waste of his time that I had to fulfill my TA responsibilities for my program. Some PIs - like mine - don't see any value in teaching. This makes my job even more difficult, because in spite of the house that I must put into my TA duties, I have to make up for them at the laboratory. Even worse, because the BME dept. is also located at Emory - where my lab is - I had to constant drive back and forth between Decatur and Atlanta, finding parking, paying for parking, and making up for huge chunks of lost time. I think that paying the graduate student is not only fair, it is morally right. What an absurdity that I had to do two jobs at once, and the university benefitted on my behalf, while I had to maintain research and my TA duties. I did not take the remainder of my required courses during this time because it was already time-taxing enough to manage the two jobs of being a TA and a graduate student researcher.",8,"Practice of public speaking, extemporaneous lesson planning, classroom engagement, designing fair assessments, and one-on-one teaching. "
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,10-15,Yes. ,Yes,Monthly,1050,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,N/A,no required TA,10-15,no,Yes,Monthly,2450,,"nope, it's great!",8,communication!
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,Don't know,,15-20,Yes. The 20 hrs per week is counted only for the actual hours we work but we had to put more effort into learning the concepts beforehand and solving the assignments.,Yes,Monthly,1677,,I'm from AE but my TA is offered by the ME. The expectations are quite different for different schools but the pay remains the same.,6,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams",,Full waiver,,Don't know,,10-15,No,Yes,Monthly,1483,,No,2,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,3,,<5,No discrepancy.,Yes,Monthly,2300,,I think it is efficient and important for professional development.,10,I learned more about different chemical engineering unit operations and lab safety attitudes.
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,5,,10-15,,No,,,,,0,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes,Conducting lab sessions",,Full waiver,,0,,10-15,No,Yes,Monthly,1050,,None,10,"Communication, Leadership, Patience and the art of teaching"
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,3,,5-10,,No,,,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Don't know,,4,,10-15,,No,,,,,8,Teaching and grading manegement 
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Instructor,,"Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,0,,10-15,,Yes,Monthly,2708,,,7,Communication skills: both in explaining complicated/technical ideas in written form and in dialogue 
Yes,Online,Ivan Allen College,,,School of Public Policy,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,1,,10-15,,Yes,Hourly,,17,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Head Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Don't know,,3,,5-10,,No,,,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,N/A,,15-20,,Yes,Monthly,,,,6,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Full waiver,,N/A,,15-20,,Yes,Monthly,1998,,,8,Understanding how students think about concepts and how to facilitate the best way of learning was the most useful gained skill 
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading exams,Conducting lab sessions",,Full waiver,,0,,10-15,,Yes,Monthly,1500,,,0,
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,0,,<5,,Yes,Monthly,1300,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Full waiver,,N/A,,>20,,Yes,Monthly,2087,,an increment in pay,10,"Patience, Communication"
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,2,,5-10,,Yes,Monthly,2000,,,5,
Yes,Atlanta,College of Design,School of City Planning,,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Conducting lab sessions",,Full waiver,,N/A,"I have a guaranteed TA or RAship for four academic years, so it's just a matter of which one is available.",5-10,"No, my average workload is below the weekly amount, but there are some weeks where the workload goes well above so it averages out.",Yes,Monthly,2511,,No,4,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Civil & Environmental Engg,Master's,Hourly grader,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Create Practice test,Did not get a waiver,,0,,10-15,The school enters my hours and pays me lump sum.,Yes,Monthly,250,,I was paid by the school lump sum 1500 Usd for all semester,10,Become an expert on a subject
Yes,Atlanta,College of Engineering,,,,,School of Civil & Environmental Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,1,,15-20,,No,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,2,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Holding recitations,Teaching classes",,Half waiver,,1,,5-10,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Teaching classes,Other (Please specify)",Writing Exam/Homewrok,Did not get a waiver,,5,,5-10,,No,,,,,4,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Other (Please specify),I am a fully funded GRA - we are required to TA by our department and I do not get compensated in any way,5,,5-10,"There are no real hourly requirements or guidelines for us, we get the same 'credit' for TA'ing lab course as we do for grading for graduate and undergraduate courses (wildly different amounts of work)",No,,,,,5,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Conducting lab sessions",,Did not get a waiver,,5,,<5,,No,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,5,,<5,,No,,,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Conducting lab sessions",,Don't know,,5,,<5,,No,,,,,3,
No,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,Scheller College of Business,,,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Half waiver,,1,,5-10,"Yes absolutely, Im supposed to provide 7 hours of work weekly but easily extends to 14-20",Yes,Monthly,900,,No,1,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Instructor,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Teaching classes,Conducting lab sessions",,Did not get a waiver,,5,,15-20,No.,No,,,,"We are overworked and there is no compensation period. I taught an entire class (willingly, for experience), and I was not even offered a tuition waiver.",4,
Yes,Atlanta,Scheller College of Business,,,,,,Master's,Graduate Teaching Assistant,,"Responding to questions on Piazza/Canvas,Other (Please specify)","Maintaining participation and attendance, posting discussion questions on canvas, recording canvas participation, and general class logistics ",Half waiver,,4,,5-10,,Yes,Monthly,,,,1,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,5,,5-10,,No,,,,,,
Yes,Atlanta,Scheller College of Business,,,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams",,Half waiver,,4,,<5,Sometimes fewer than required but may be back loaded,Yes,Monthly,1800,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams",,Did not get a waiver,,5,,<5,,No,,,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Did not get a waiver,,5,,<5,"Yes, I regularly spent over 8 hours per on my TAing, and I was not going above and beyond, just doing the bare minimum that was required of me.",No,,,,"The TA requirements in the MSE department are excessive compared to other top MSE programs in the country. We are not compensated for our TAing, and the several hours a week we spend TAing is time not spent on our research, which is what we are actually being compensated for considering the majority of grad students in the MSE department are GRAs.",1,
Yes,Atlanta,Scheller College of Business,,,,,,Master's,Graduate Teaching Assistant,,"Grading assignments,Other (Please specify)",Event Planning,Half waiver,,0,,5-10,,Yes,Monthly,,,,7,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Hourly grader,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,10,,<5,,No,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Holding recitations",,Full waiver,,3,,5-10,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,Master's,Graduate Teaching Assistant,,Grading assignments,,Did not get a waiver,,0,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Other (Please specify)",Planning and running review sessions,Full waiver,,3,,10-15,"Yes, as a GRA the amount I get paid relative to the credit hour fraction is a little bit underpaying",Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Full waiver,,3,,5-10,,No,,,,,,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Biomedical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,2,,15-20,"Tremendously. I am required to do at most 10 hours a week, but I have been doing a consistent 17.5 hours per week. Most of the time is taken up by a combination of grading and reviewing the class content so that I can help the students.",No,,,,Please have some method of enforcing the amount of time TA's can be required to work. I'm currently doing hours and hours of unpaid overtime.,8,Organizing events and communications for large numbers of people.
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,0,,10-15,no,Yes,Monthly,,,,,
Yes,Atlanta,College of Computing,,,,School of Computational Science & Engg,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Other (Please specify)",Creating assignments,Full waiver,,1,,15-20,Yes. I've been hired as a 13 hour TA but I almost always end up spending more than 15 hours per week,Yes,Monthly,1050,,NA,2,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Mathematics,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Full waiver,,10,,10-15,,Yes,Monthly,,,,,
Yes,Atlanta,College of Sciences,,School of Biology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas",,Full waiver,,3,,5-10,No,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Office hours,Responding to questions on Piazza/Canvas",,Did not get a waiver,,5,,<5,,No,,,,,10,"Professionalism, how to work with professors, and how to teach material in a digestible and concise manner"
Yes,Atlanta,College of Sciences,,School of Applied Physiology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Responding to questions on Piazza/Canvas,Other (Please specify)",Monitoring virtual class sessions and chat,Full waiver,,Don't know,,,,,,,,,,
Yes,Atlanta,College of Sciences,,School of Biology,,,,PhD,Lab Teaching Assistant,,Conducting lab sessions,,Full waiver,,1,,5-10,,Yes,Monthly,,,,,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Other (Please specify)",Creating assignments and exams,Full waiver,,1,,5-10,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Other (Please specify),Mandatory TA points required by MSE,10,,5-10,"The hours vary for different people depending on the course they choose to TA. There is no relationship between hours and point system. For 1 point, some course may require less work, but others might require more.",No,,,,There is no monetary compensation. We get mandatory TA points. we need 10 points by the end of PhD.,0,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours",,Did not get a waiver,,3,,<5,,No,,,,,2,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Other (Please specify)",Review session for exams,Full waiver,,Don't know,,10-15,"I was expected for 20 hours a week, typically less than that per week",Yes,Monthly,2047,,"It should be higher, cost of living has gone up",10,Communication and teaching skills
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Chemical & Biomolecular Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Holding recitations,Conducting lab sessions",,Full waiver,,3,,5-10,No,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Head Teaching Assistant,,Conducting lab sessions,,Did not get a waiver,,5,,<5,,No,,,,,7,"I had to put together the material for the students. Planning content like that seems like a valuable skill. Also, communication is an important skill to always be practicing"
Yes,Lorraine,College of Engineering,,,,,School of Aerospace Engg,Master's,Lab Teaching Assistant,,"Grading assignments,Conducting lab sessions",,Other (Please specify),Refund,0,,,,,,,,,,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas",,Full waiver,,0,,15-20,No,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,3,,15-20,,Yes,Monthly,2087,,,7,Patience
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Holding recitations,Teaching classes,Conducting lab sessions",,Half waiver,,0,,10-15,,Yes,Monthly,2450,,"It’s really not a livable wage anymore, inflation in Atlanta is insane",6,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,<5,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,>20,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,5-10,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,Yes,Monthly,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Atlanta,College of Engineering,,,,,School of Mechanical Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Full waiver,,0,,5-10,,Yes,Monthly,,,,,
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Teaching classes",,Full waiver,,10,,5-10,Hired for 20,No,,,,,0,
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours",,Full waiver,,0,,5-10,,Yes,Monthly,2250,,Only 9 month funding guaranteed. Summer funding is not guaranteed and stressful to figure out each year. ,7,Learning how to answer questions on the fly; mentoring junior students
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Instructor,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Teaching classes,Conducting lab sessions",,Full waiver,,Don't know,,>20,Instrructors have to work very hard.,Yes,Monthly,2200,,"It is very hard to make ends meet on the psychology stipend, whether as an instructor or TA. As a single man in atlanta living on my own, rent, phone, utilities and car payment alone come to $1700 pcm. The normal TA stipend is $2000 approx. I have to get a student loan every semester in order to survive, and so am going $30000 further into debt EVERY YEAR. I'm scared, i won't lie!",8,For instructing assignments only: public speaking. Time management. Managing people. Communication skills. Better understanding of my own subject.
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,10,,15-20,,Yes,Monthly,2400,,,5,
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,Don't know,,15-20,,Yes,Monthly,2424,,,5,
Yes,Atlanta,College of Sciences,,School of Psychology,,,,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,Don't know,,15-20,,Yes,Monthly,2300,,Lab instructors need to work more and hence get about $250 more per month,10,Organize the class content and deliver the instructions.
Yes,Atlanta,College of Engineering,,,,,School of Aerospace Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,Don't know,,15-20,,Yes,Monthly,1600,,,,
